City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,rawson,-43.3002,-65.1023,20.31,31,44,6.81,AR,1670123010
287,daru,-9.0763,143.2092,30.55,56,98,3.28,PG,1670123010
288,warmbad,-28.45,18.7333,14.73,49,23,3.3,NA,1670123010
289,vila velha,-20.3297,-40.2925,22.19,98,100,3.28,BR,1670122990
290,narsaq,60.9167,-46.05,-7.88,74,2,3.9,GL,1670123010
291,rauma,61.1272,21.5113,-3.98,93,47,1.42,FI,1670122749
292,shiyan,32.6475,110.7781,5.99,36,94,3.69,CN,1670123011
293,sydney,-33.8679,151.2073,28.08,56,20,8.23,AU,1670123007
294,zhangye,38.9342,100.4517,-4.25,50,89,2.29,CN,1670123011
295,airai,-8.9266,125.4092,25.69,38,89,0.45,TL,1670123011
296,charlestown,-32.95,151.6667,26.12,57,64,2.68,AU,1670122717
297,mianyang,31.4593,104.7542,9.47,61,52,0.43,CN,1670123011
298,bac lieu,9.285,105.7244,27.82,81,79,9.08,VN,1670122719
299,maracai,-22.6106,-50.6672,22.65,87,100,1.22,BR,1670123012
300,port victoria,0.0939,33.9756,19.67,71,12,5.23,KE,1670123012
301,bassano,50.7834,-112.4685,-9.83,74,3,4.61,CA,1670122832
302,syedove,47.0768,38.156,-2.57,60,44,13.87,UA,1670123012
303,shuyskoye,59.3736,41.0305,-13.2,95,81,2.29,RU,1670123013
304,arman,59.7,150.1667,-16.68,82,100,3.91,RU,1670123013
305,vila franca do campo,37.7167,-25.4333,15.23,75,99,12.39,PT,1670123013
306,sisimiut,66.9395,-53.6735,-3.47,86,100,6.93,GL,1670123013
307,esmeraldas,-19.7625,-44.3139,18.16,94,100,3.61,BR,1670122927
308,bulgan,48.8125,103.5347,-19.05,76,2,1.13,MN,1670123014
309,paciran,-6.8767,112.3761,29.23,68,100,1.54,ID,1670123014
310,cafarnaum,-11.6936,-41.4683,19.55,86,100,4.55,BR,1670123014
311,vallenar,-28.5708,-70.7581,20.57,51,0,1.27,CL,1670122926
312,bam,29.106,58.357,10.49,43,1,0.39,IR,1670123014
313,strezhevoy,60.7333,77.5889,-17.52,100,90,0.53,RU,1670122857
314,saint-louis,16.3333,-15.0,20.3,28,63,3.93,SN,1670123015
315,batagay-alyta,67.8006,130.4114,-22.57,91,100,1.38,RU,1670123015
316,grand-santi,4.25,-54.3833,21.99,99,98,1.53,GF,1670123015
317,caravelas,-17.7125,-39.2481,22.07,94,100,2.43,BR,1670123015
318,beringovskiy,63.05,179.3167,1.31,99,100,6.33,RU,1670123016
319,northam,51.0333,-4.2167,5.22,72,100,6.19,GB,1670123016
320,nargana,9.4428,-78.5906,26.55,81,42,5.66,PA,1670123016
321,kijang,35.2442,129.2139,8.1,22,20,2.95,KR,1670123016
322,bella union,-30.2752,-57.6007,20.8,94,100,2.84,UY,1670123017
323,killam,52.7834,-111.8518,-11.28,82,37,4.64,CA,1670123017
324,mandalay,21.9747,96.0836,24.05,55,0,1.05,MM,1670122819
325,hambantota,6.1241,81.1185,25.19,100,40,1.03,LK,1670123017
326,la ronge,55.1001,-105.2842,-14.09,86,100,3.76,CA,1670122832
327,baia mare,47.6533,23.5795,-0.29,100,100,2.06,RO,1670123017
328,bairiki,1.3292,172.9752,27.33,71,29,7.65,KI,1670123018
329,sapernoye,60.7167,29.9505,-4.63,90,100,2.77,RU,1670123018
330,male,4.1748,73.5089,26.72,76,84,3.4,MV,1670123018
331,bambanglipuro,-7.95,110.2833,27.37,74,100,1.58,ID,1670123018
332,karratha,-20.7377,116.8463,36.16,29,1,5.25,AU,1670123019
333,oyama,36.3,139.8,13.66,30,6,1.31,JP,1670123002
334,indramayu,-6.3264,108.32,28.51,66,100,0.67,ID,1670123019
335,murdochville,48.9583,-65.5006,5.02,100,100,6.41,CA,1670123019
